formula,Temperature,target
HfAg,1000,0
CaAg2,1000,0
Ag2F,1000,0
EuAg2,1000,0
Ag2Te,1000,0
Ag3O4,1000,0
Ag3Sb,1000,0
Ca2Ag7,1000,0
BaAg5,1000,0
AgF3,1000,0
ZnAg,1000,0
LaAg,1000,0
GdAg2,1000,0
In2Ag,1000,0
HoAg2,1000,0
DyAg,1000,0
In4Ag9,1000,0
Zr2Ag,1000,0
Th2Ag,1000,0
AgN3,1000,0
YbAg,1000,0
TbAg,1000,0
Ag3Sb,1000,0
AgF2,1000,0
AgI,1000,0
AgI,1000,0
AgI,1000,0
AgCl,1000,0
AgI,1000,0
AgBr,1000,0
SrAg5,1000,0
AcH2,1000,0
LiAg,1000,0
YAg,1000,0
SmAg,1000,0
PrAg,1000,0
DyAg2,1000,0
ErAg,1000,0
CdAg,1000,0
MgAg,1000,0
HoAg,1000,0
Ag3O,1000,0
Ag3P11,1000,0
TmAg,1000,0
AcCl3,1000,0
AcBr3,1000,0
Ag7Te4,1000,0
AgTe3,1000,0
Ag8S,1000,0
ErAg2,1000,0
InAg3,1000,0
MgAg3,1000,0
NaAg2,1000,0
AgPt3,1000,0
ScAg4,1000,0
SrAg,1000,0
SrAg2,1000,0
Sr3Ag2,1000,0
TbAg2,1000,0
TmAg2,1000,0
TmAg3,1000,0
Zr3Ag,1000,0
ThAg2,1000,0
Ag2S,1000,0
Ca5Ag3,1000,0
Ag2S,1000,0
Ag2Se,1000,0
Ag2S,1000,0
Ac2S3,1000,0
Ag2Te,1000,0
Ag2S,1000,0
Ag2S,1000,0
AgI2,1000,0
Ag2O,1000,0
Ag2S,1000,0
AgSe,1000,0
Ag2O,1000,0
Ag2S,1000,0
AgO,1000,0
CaAg,1000,0
Ag2F5,1000,0
EuAg5,1000,0
Ag2O3,1000,0
Ag2S,1000,0
Ag2S,1000,0
Ag3F8,1000,0
AgI,1000,0
Cd8Ag5,1000,0
NdAg2,1000,0
YbAg2,1000,0
PrAg2,1000,0
SrAg,1000,0
AgTe,1000,0
Ag2Se,1000,0
AgI,1000,0
Ag2Se,1000,0
LuAg4,1000,0
Ag2Se,1000,0
Yb2Ag7,1000,0
AgBr,1000,0
AgCl,1000,0
Yb5Ag3,1000,0
AgN3,1000,0
Yb3Ag2,1000,0
AgI,1000,0
Ag2S,1000,0
Ag3Sn,1000,0
Ti3Ag,1000,0
Eu3Ag2,1000,0
Ca3Ag8,1000,0
EuAg,1000,0
Mg54Ag17,1000,0
AgI,1000,0
Ag2Te,1000,0
Ag2Te,1000,0
Ag2O,1000,0
Ag2Se,1000,0
AgHg,1000,0
AgHg,1000,0
Ag2Hg5,1000,0
Ag2Hg3,1000,0
Ag11Hg9,1000,0
Ag2O,1000,0
AgF2,1000,0
AgP2,1000,0
AgO,1000,0
AcH3,1000,0
AcI3,1000,0
Ac3Sn,1000,0
Ag2F3,1000,0
AcHg3,1000,0
AcAl3,1000,0
AcGe3,1000,0
CeAg3,1000,0
LiAg3,1000,0
SmAg3,1000,0
PmAg3,1000,0
Ag2Br3,1000,0
Ag2Cl3,1000,0
ZnAg3,1000,0
AcZn3,1000,0
MgAg3,1000,0
Mg3Ag,1000,0
AcMg5,1000,0
AcTe3,1000,0
Li3Ag,1000,0
CdAg3,1000,0
AcAg3,1000,0
AcN,1000,0
AcAg,1000,0
AcSi3,1000,0
AcMg,1000,0
AgBr,1000,0
AcIn3,1000,0
AgAu3,1000,0
AcSe3,1000,0
AcGa3,1000,0
AcAu3,1000,0
AcCd3,1000,0
V3Ag,1000,0
Ac3Yb,1000,0
SmAg3,1000,0
NaAg3,1000,0
FeAg3,1000,0
Nd3Ag,1000,0
ReAg3,1000,0
Rb3Ac,1000,0
Rb3Ag,1000,0
Rb3Ac,1000,0
RbAc3,1000,0
RbAc3,1000,0
Pr3Ag,1000,0
NaAc,1000,0
Li3Ac,1000,0
Li3Ag,1000,0
K3Ag,1000,0
NiAg3,1000,0
NiAg3,1000,0
Li3Ag,1000,0
Ac2S3,1000,0
AcF3,1000,0
La3Ag,1000,0
Si3Ag,1000,0
Sm3Ag,1000,0
Si3Ag,1000,0
SrAc3,1000,0
Ti2Ag,1000,0
UAg3,1000,0
Sm3Ag,1000,0
TbAg3,1000,0
TbAg3,1000,0
TcAg3,1000,0
CaAc3,1000,0
CuAg3,1000,0
AcMg3,1000,0
AcLa3,1000,0
AcF3,1000,0
Ag3Ge,1000,0
Ag3Ge,1000,0
Ac2Mg,1000,0
AgAu3,1000,0
Ac3Hg,1000,0
Ac3Er,1000,0
Ag3P,1000,0
Ag3Pd,1000,0
Ag3Rh,1000,0
Ag3N,1000,0
AcEr3,1000,0
AcDy3,1000,0
Ac3Pr,1000,0
Ac3Th,1000,0
Ac3In,1000,0
Ag3Hg,1000,0
Ac3Tl,1000,0
Ac3La,1000,0
Ac3Sm,1000,0
Ac3Nd,1000,0
Ac3Sc,1000,0
AgPb3,1000,0
AlAg2,1000,0
AgN,1000,0
YAg2,1000,0
AgN,1000,0
Ag2O3,1000,0
HfAl3,1000,0
Al3V,1000,0
AlCu3,1000,0
Ti2Al,1000,0
Al2Ru,1000,0
TbAl,1000,0
AlSb,1000,0
AlCo3,1000,0
ScAg2,1000,0
AlBi,1000,0
AlTc2,1000,0
AlAu2,1000,0
AlSi,1000,0
Hf4Al3,1000,0
MgAl,1000,0
MgAl,1000,0
MgAl3,1000,0
MgAl,1000,0
MgAl3,1000,0
MgAl3,1000,0
MgAl2,1000,0
Al3Ni2,1000,0
TiAl,1000,0
